Processing Metadata...
Extracting HOG of images in /Users/tsekar/Downloads/phase3_sample_data/Labelled/Set2
There are 100 images in the directory
Extraction complete, please inspect database.
reducing dimensions...
reducing dimensions...
Hand_0010833.jpg - palmar
Hand_0008885.jpg - dorsal
Hand_0001321.jpg - palmar
Hand_0001320.jpg - palmar
Hand_0009378.jpg - palmar
Hand_0002213.jpg - dorsal
Hand_0000404.jpg - palmar
Hand_0011455.jpg - palmar
Hand_0008886.jpg - dorsal
Hand_0000203.jpg - dorsal
Hand_0002212.jpg - dorsal
Hand_0009810.jpg - dorsal
Hand_0007168.jpg - dorsal
Hand_0011726.jpg - dorsal
Hand_0005579.jpg - palmar
Hand_0009791.jpg - palmar
Hand_0000776.jpg - dorsal
Hand_0010834.jpg - dorsal
Hand_0005578.jpg - palmar
Hand_0003137.jpg - palmar
Hand_0000204.jpg - palmar
Hand_0000774.jpg - dorsal
Hand_0000205.jpg - palmar
Hand_0000403.jpg - palmar
Hand_0002214.jpg - dorsal
Hand_0001829.jpg - palmar
Hand_0004945.jpg - dorsal
Hand_0003555.jpg - palmar
Hand_0000075.jpg - palmar
Hand_0001828.jpg - palmar
Hand_0009657.jpg - palmar
Hand_0000101.jpg - palmar
Hand_0010474.jpg - dorsal
Hand_0000659.jpg - dorsal
Hand_0004946.jpg - dorsal
Hand_0003556.jpg - palmar
Hand_0008628.jpg - dorsal
Hand_0000102.jpg - palmar
Hand_0009654.jpg - palmar
Hand_0000658.jpg - dorsal
Hand_0000112.jpg - dorsal
Hand_0000648.jpg - dorsal
Hand_0009687.jpg - palmar
Hand_0008016.jpg - dorsal
Hand_0004572.jpg - palmar
Hand_0008017.jpg - dorsal
Hand_0009686.jpg - palmar
Hand_0000111.jpg - dorsal
Hand_0009653.jpg - dorsal
Hand_0006004.jpg - palmar
Hand_0000070.jpg - palmar
Hand_0006401.jpg - palmar
Hand_0008014.jpg - dorsal
Hand_0006005.jpg - palmar
Hand_0010471.jpg - dorsal
Hand_0006575.jpg - dorsal
Hand_0000109.jpg - dorsal
Hand_0000915.jpg - palmar
Hand_0008622.jpg - dorsal
Hand_0000650.jpg - dorsal
Hand_0001943.jpg - palmar
Hand_0004026.jpg - palmar
Hand_0000903.jpg - dorsal
Hand_0000095.jpg - dorsal
Hand_0000094.jpg - dorsal
Hand_0000902.jpg - dorsal
Hand_0002720.jpg - palmar
Hand_0004631.jpg - dorsal
Hand_0002719.jpg - palmar
Hand_0003388.jpg - palmar
Hand_0004632.jpg - dorsal
Hand_0003558.jpg - palmar
Hand_0001944.jpg - palmar
Hand_0003389.jpg - palmar
Hand_0005984.jpg - dorsal
Hand_0005562.jpg - palmar
Hand_0002184.jpg - palmar
Hand_0004245.jpg - palmar
Hand_0006863.jpg - dorsal
Hand_0005985.jpg - dorsal
Hand_0003138.jpg - palmar
Hand_0004680.jpg - dorsal
Hand_0004681.jpg - dorsal
Hand_0005986.jpg - dorsal
Hand_0000144.jpg - palmar
Hand_0009376.jpg - palmar
Hand_0001931.jpg - palmar
Hand_0006864.jpg - palmar
Hand_0002182.jpg - palmar
Hand_0002183.jpg - palmar
Hand_0001930.jpg - palmar
Hand_0009377.jpg - palmar
Hand_0000145.jpg - palmar
Hand_0007166.jpg - dorsal
Hand_0000423.jpg - palmar
Hand_0000386.jpg - palmar
Hand_0005163.jpg - dorsal
Hand_0005162.jpg - dorsal
Hand_0000387.jpg - palmar
Hand_0000422.jpg - palmar
56.99999999999999
